OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,HASC_2,CCN_2,CCA_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,,,id_1,id_2,obj_id
210,105,IND,India,14,Jammu and Kashmir,210,Kupwara,IN.JK.KU,NA,,District,District,,,,,14,210,210
211,105,IND,India,14,Jammu and Kashmir,211,Leh (Ladakh),IN.JK.LE,NA,,District,District,,,,,14,211,211
212,105,IND,India,14,Jammu and Kashmir,212,Poonch,IN.JK.PO,NA,,District,District,,Punch,,,14,212,212
213,105,IND,India,14,Jammu and Kashmir,213,Pulwama,IN.JK.PW,NA,,District,District,,,,,14,213,213
214,105,IND,India,14,Jammu and Kashmir,214,Rajouri,IN.JK.RA,NA,,District,District,,,,,14,214,214
215,105,IND,India,14,Jammu and Kashmir,215,Ramban,IN.JK.RB,NA,,District,District,,,,,14,215,215
216,105,IND,India,14,Jammu and Kashmir,216,Reasi,IN.JK.RE,NA,,District,District,,,,,14,216,216
217,105,IND,India,14,Jammu and Kashmir,217,Samba,IN.JK.SM,NA,,District,District,,,,,14,217,217
218,105,IND,India,14,Jammu and Kashmir,218,Shupiyan,IN.JK.SH,NA,,District,District,,,,,14,218,218
219,105,IND,India,14,Jammu and Kashmir,219,Srinagar,IN.JK.SN,NA,,District,District,,,,,14,219,219
220,105,IND,India,14,Jammu and Kashmir,220,Udhampur,IN.JK.UM,NA,,District,District,,,,,14,220,220
221,105,IND,India,15,Jharkhand,221,Bokaro,IN.JH.BO,NA,,District,District,,,,,15,221,221
222,105,IND,India,15,Jharkhand,222,Chatra,IN.JH.CH,NA,,District,District,,,,,15,222,222
223,105,IND,India,15,Jharkhand,223,Deoghar,IN.JH.DE,NA,,District,District,,Devghar,,,15,223,223
224,105,IND,India,15,Jharkhand,224,Dhanbad,IN.JH.DH,NA,,District,District,,,,,15,224,224
225,105,IND,India,15,Jharkhand,225,Dumka,IN.JH.DM,NA,,District,District,,"Santhal Pargana, Santal Parganas",,,15,225,225
226,105,IND,India,15,Jharkhand,226,Garhwa,IN.JH.GA,NA,,District,District,,,,,15,226,226
227,105,IND,India,15,Jharkhand,227,Giridih,IN.JH.GI,NA,,District,District,,,,,15,227,227
228,105,IND,India,15,Jharkhand,228,Godda,IN.JH.GO,NA,,District,District,,Goodda,,,15,228,228
229,105,IND,India,15,Jharkhand,229,Gumla,IN.JH.GM,NA,,District,District,,,,,15,229,229
230,105,IND,India,15,Jharkhand,230,Hazaribagh,IN.JH.HZ,NA,,District,District,,,,,15,230,230
231,105,IND,India,15,Jharkhand,231,Jamtara,IN.JH.JA,NA,,District,District,,,,,15,231,231
232,105,IND,India,15,Jharkhand,232,Khunti,IN.JH.KH,NA,,District,District,,,,,15,232,232
233,105,IND,India,15,Jharkhand,233,Kodarma,IN.JH.KO,NA,,District,District,,,,,15,233,233
234,105,IND,India,15,Jharkhand,234,Latehar,IN.JH.LA,NA,,District,District,,,,,15,234,234
235,105,IND,India,15,Jharkhand,235,Lohardaga,IN.JH.LO,NA,,District,District,,Lohargada,,,15,235,235
236,105,IND,India,15,Jharkhand,236,Pakur,IN.JH.PK,NA,,District,District,,,,,15,236,236
237,105,IND,India,15,Jharkhand,237,Palamu,IN.JH.PM,NA,,District,District,,,,,15,237,237
238,105,IND,India,15,Jharkhand,238,Pashchimi Singhbhum,IN.JH.WS,NA,,District,District,,Singhbhum West,,,15,238,238
239,105,IND,India,15,Jharkhand,239,Purbi Singhbhum,IN.JH.ES,NA,,District,District,,Singhbhum East,,,15,239,239
240,105,IND,India,15,Jharkhand,240,Ramgarh,IN.JH.RM,NA,,District,District,,,,,15,240,240
241,105,IND,India,15,Jharkhand,241,Ranchi,IN.JH.RN,NA,,District,District,,,,,15,241,241
